transaction_id,customer_id,account_id,customer_name,customer_email,account_age_days,timestamp,amount,currency,merchant_category,merchant_id,channel,device_id,ip_country,home_country,is_new_device,destination_account_age_days,auth_status,label,attack_type,distinct_merchants_touched,decline_rate,is_micro_auth,chain_id,event_sequence_position,time_since_previous_event_sec
txn_d8cba189057d47,cust_af4652290c,acc_eb8bb2650601,Simran Nair,simran.nair811@yahoo.com,1020,2026-06-01T00:17:03,125.45,USD,travel,merch_477928ed,card_not_present,dev_r75yus90uz,DE,DE,False,,approved,0,,1,0.0,False,,,
txn_62cf8b9008cf4e,cust_36d170bcef,acc_4ae672742fc9,Kabir Khan,kabir.khan529@yahoo.com,1628,2026-06-01T00:17:23,139.34,INR,travel,merch_71118cd2,app_transfer,dev_02tyaxy2nz,IN,IN,False,,approved,0,,1,0.0,False,,,
txn_bebcef9028c540,cust_d477deb052,acc_2619b4fc24ca,Simran Iyer,simran.iyer283@yahoo.com,2027,2026-06-01T00:39:26,11.45,USD,grocery,merch_6c33cb4a,card_present,dev_4qc6km6cbm,US,US,False,,approved,0,,1,0.0,False,,,
txn_f6f2623ccc994b,cust_e72458d6f2,acc_d7a887b34c5a,Aarav Kapoor,aarav.kapoor199@gmail.com,1550,2026-06-01T03:14:08,3.64,INR,entertainment,merch_6c7cad73,card_not_present,dev_k5rjjtd1mw,IN,IN,False,,approved,0,,1,0.0,False,,,
txn_8a006bc6a8c142,cust_202588d328,acc_19b544f4d379,Ananya Verma,ananya.verma331@outlook.com,1177,2026-06-01T03:21:00,5.32,INR,grocery,merch_e67cc2dc,card_present,dev_b4lybedrv5,IN,IN,False,,approved,0,,1,0.0,False,,,
txn_c29f2754e9504d,cust_437ecbece3,acc_0e5ced79fd11,Priya Verma,priya.verma469@proton.me,788,2026-06-01T03:24:09,26.24,USD,ecommerce_general,merch_bd4659e3,card_present,dev_qxi1hvu05v,DE,DE,False,,approved,0,,1,0.0,False,,,
txn_0ccedf15938b48,cust_ff4b5be4d4,acc_ac7a7d29cd81,Vivaan Rao,vivaan.rao490@gmail.com,583,2026-06-01T04:10:59,30.89,INR,food_delivery,merch_e52a0eb3,card_not_present,dev_7vhtclr452,IN,IN,False,,approved,0,,1,0.0,False,,,
txn_b57d27e764f04e,cust_660ecd2f71,acc_a18ccae12767,Meera Singh,meera.singh782@proton.me,2089,2026-06-01T04:11:57,32.7,INR,ecommerce_general,merch_3a73d140,card_not_present,dev_svquwjhusr,IN,IN,False,,approved,0,,1,0.0,False,,,
txn_ecc12d837fa146,cust_eb4d0ae505,acc_9c394510cc22,Rahul Sharma,rahul.sharma882@yahoo.com,341,2026-06-01T05:05:31,9.12,INR,food_delivery,merch_ba3fd079,card_not_present,dev_zxghexanvz,IN,IN,False,,approved,0,,1,0.0,False,,,
txn_9d5befe8dfa04c,cust_7a4bc48715,acc_2d296a2d7b29,Pooja Sharma,pooja.sharma510@outlook.com,1251,2026-06-01T05:13:08,37.62,INR,grocery,merch_6cabbc8f,card_not_present,dev_6lx89j8e69,IN,IN,False,,approved,0,,1,0.0,False,,,
txn_210796436fbc42,cust_0c9c94acd8,acc_0b023407d58f,Ananya Kapoor,ananya.kapoor171@outlook.com,2405,2026-06-01T05:32:19,3.7,USD,entertainment,merch_6538d274,card_present,dev_06qnx0of7s,DE,DE,False,,approved,0,,1,0.0,False,,,
txn_10cee7d7dbb94d,cust_36c3330fff,acc_e731b18d2d5e,Neha Patel,neha.patel84@proton.me,670,2026-06-01T05:40:34,14.47,USD,food_delivery,merch_2946f311,app_transfer,dev_k0rep1ktlv,US,DE,True,,approved,0,,1,0.0,False,,,
txn_aa4d852ba48f40,cust_d630ee4241,acc_b5abf87f7837,Priya Nair,priya.nair498@proton.me,373,2026-06-01T06:25:12,4.88,INR,fuel,merch_8e89644e,card_not_present,dev_6hjb2jtxb0,IN,IN,False,,approved,0,,1,0.0,False,,,
txn_eef8172862754d,cust_987bf06ebf,acc_87952d16f90b,Pooja Rao,pooja.rao514@yahoo.com,1258,2026-06-01T07:03:01,22.29,INR,ecommerce_general,merch_7dc3412f,card_not_present,dev_5ejr91qupw,IN,IN,False,,approved,0,,1,0.0,False,,,
txn_4247b60059d840,cust_9e790b3e22,acc_be5cdca9aed4,Neha Reddy,neha.reddy976@gmail.com,1385,2026-06-01T07:10:43,14.43,INR,grocery,merch_79224af6,card_present,dev_c4nnz49nq3,IN,IN,False,,approved,0,,1,0.0,False,,,
txn_e25417fe4f1f4b,cust_3f773428d9,acc_393ec99be66b,Ananya Khan,ananya.khan393@outlook.com,717,2026-06-01T07:41:21,28.47,INR,fuel,merch_b60bafe4,card_not_present,dev_gu9b8innu7,IN,IN,False,,approved,0,,1,0.0,False,,,
txn_44b52782438c4a,cust_db7570f3c4,acc_44e3eb5fed06,Pooja Kapoor,pooja.kapoor954@proton.me,48,2026-06-01T07:43:49,8.35,USD,fuel,merch_3640c870,wire,dev_365rd46wke,GB,GB,False,,approved,0,,1,0.0,False,,,
txn_0496d7592c024e,cust_e37c4014f4,acc_dbd4837c1276,Kabir Singh,kabir.singh152@yahoo.com,2300,2026-06-01T07:50:59,24.18,INR,ecommerce_general,merch_a986c3b9,app_transfer,dev_fajlfg9vka,IN,IN,False,,approved,0,,1,0.0,False,,,
txn_155a7417f75446,cust_db3990fa3e,acc_9fb8830d10b6,Kabir Patel,kabir.patel162@outlook.com,553,2026-06-01T07:57:49,12.34,INR,grocery,merch_89529e09,card_not_present,dev_3xoleyrvxo,IN,IN,False,,approved,0,,1,0.0,False,,,
txn_79ea9a0aeb374f,cust_69d63e404b,acc_e4c0e4536ad6,Vivaan Rao,vivaan.rao430@outlook.com,857,2026-06-01T08:00:34,56.24,INR,utilities,merch_877e789b,app_transfer,dev_ts9qp0di6f,US,IN,True,,approved,0,,1,0.0,False,,,
txn_cd1b161a20104e,cust_e0725f7962,acc_93a076e8d290,Simran Reddy,simran.reddy446@gmail.com,2440,2026-06-01T08:09:55,10.53,INR,fuel,merch_63381f2b,card_not_present,dev_906k37e4ey,IN,IN,False,,approved,0,,1,0.0,False,,,
txn_4f5dda1c47734a,cust_c630849706,acc_f01a32948548,Myra Khan,myra.khan89@proton.me,1497,2026-06-01T08:14:33,19.07,INR,entertainment,merch_b951b49f,card_present,dev_ffq0nezh1u,IN,IN,False,,approved,0,,1,0.0,False,,,
txn_64d4377572854d,cust_2472f19d0b,acc_96ef344baefe,Priya Singh,priya.singh6@gmail.com,94,2026-06-01T08:53:37,11.03,USD,grocery,merch_d4a74dc4,card_present,dev_mh0n5o9r7l,GB,GB,False,,approved,0,,1,0.0,False,,,
txn_4c812fce651149,cust_987bf06ebf,acc_87952d16f90b,Pooja Rao,pooja.rao514@yahoo.com,1258,2026-06-01T08:55:25,11.63,INR,ecommerce_general,merch_0909391d,wire,dev_5ejr91qupw,IN,IN,False,,approved,0,,1,0.0,False,,,
